post_id,content_type,video_duration_sec,caption_length,post_day_of_week,post_hour,post_day,post_month,post_year,follower_count,hashtag_count,is_verified,is_paid_partnership,hashtags,like_count,comment_count,view_count,play_count,engagement_rate,dataset,hashtag_type_mix,time_block,is_weekend
3526888927900837556,reel,90.033,318,Friday,1,20,12,2024,80091,7,True,False,"['abawfam', 'unboxingjoy', 'interactivetoys', 'glambuddies', 'surprisetoys', 'trendytoys', 'playtimefavorites']",60,12,876,49950,0.0008989661888827848,DS3,niche_only,night,False
3542221684394516928,reel,479.066,66,Friday,5,10,1,2025,80091,0,False,False,[],3160,151,8411,41355,0.04133995904709584,DS3,none,night,False
3622241755928257300_67598934311,reel,38.966,88,Wednesday,14,30,4,2025,59014,4,True,False,"['hotwheels', 'hotwheelstürkiye', 'diecast', 'modelaraba']",3576,58,0,76230,0.061577565025840886,DS3,niche_only,afternoon,False
3409193795414257619,reel,15.066,518,Wednesday,16,10,7,2024,80091,22,False,False,"['ganpatibappa', 'ganpatimemories', 'bappavideo', 'bappa_maza_official_', 'mumbaiganpati', 'surat_utsav', 'surat', 'ganeshaart', 'mum', 'meme', 'bappamoraya', 'lalbaugcharaja', 'jungle', 'photooftheday', 'picture', 'mumbai', 'reelsviral', 'reelsvideo', 'reelkarofeelkaro', 'reelsinstagram', 'explore', 'exploring']",582,19,703,3093,0.007503870548868801,DS3,mixed,afternoon,False
3778335820223757486_460581364,reel,39.402,338,Monday,23,1,12,2025,465417,4,True,False,"['fitness', 'gymtips', 'biceps', 'growyourarms']",3,24,6939,22001,5.8012367377282356e-05,DS3,niche_only,evening,False
3770226725482647082_571854907,reel,15.208,368,Thursday,19,20,11,2025,209031,2,False,False,"['archival', 'couture']",136,0,422,1662,0.0006506180871828237,DS3,niche_only,evening,False
3053705986824292017_145527112,reel,5.4,21,Wednesday,4,8,3,2023,1444,2,False,False,"['guccithai', 'gucci']",12,2,51,146,0.009688581314878892,DS3,niche_only,night,False
3496756114354657396,reel,15.0,11,Friday,11,8,11,2024,80091,0,True,False,[],1155,51,2413,9669,0.015057683663786646,DS3,none,morning,False
3574330548357105527_517136128,reel,18.466,139,Sunday,12,23,2,2025,241440,6,True,False,"['prathameshparab', 'kshitijaghosalkar', 'pratija', 'indvspak', 'couplecomedy', 'fun']",5240,51,76717,210133,0.021914256485021186,DS3,niche_only,afternoon,True
3501743708217544268_4738834221,reel,8.3,108,Friday,8,15,11,2024,118578,7,True,False,"['gym', 'fitness', 'reels', 'fyp', 'funny', 'gymreels', 'transformations']",4215,123,0,159211,0.03658320613262045,DS3,mixed,morning,False
3601437738798024729_2021863095,reel,4.133,65,Tuesday,22,1,4,2025,83958,0,False,False,[],21,0,0,1117,0.00025012208339784893,DS3,none,evening,False
3498213541763780571,reel,89.866,177,Sunday,11,10,11,2024,80091,0,False,False,[],5623,31,30637,153053,0.07059381711032313,DS3,none,morning,True
3596553461464086945,reel,5.0,600,Wednesday,4,26,3,2025,80091,0,True,False,[],101,3,627,3333,0.0012985067172751337,DS3,none,night,False
3390959314456883694,reel,6.455,191,Saturday,12,15,6,2024,80091,14,True,False,"['model', 'modellife', 'curvemodel', 'plussizemodel', 'plussize', 'fyp', 'foryoupage', 'nycmodel', 'lamodel', 'ukmodel', 'plussizefashion', 'fashion', 'boho', 'bohofashion']",184,17,887,4096,0.002509613943964441,DS3,mixed,afternoon,True
3534415210511820879_65358322529,reel,31.821,127,Monday,10,30,12,2024,318,3,False,False,"['diengsquadnfriends', 'diengsquadjelajahdunia', 'sepedalipatindonesia']",43,0,201,593,0.13479623824451412,DS3,niche_only,morning,False
3407514276394000815,reel,15.766,107,Monday,8,8,7,2024,80091,2,False,False,"['kinhmatanna', 'annaeyeglasse']",7,0,446,4692,8.73994905858263e-05,DS3,niche_only,morning,False
3453914483828765172,reel,415.12,124,Tuesday,9,10,9,2024,80091,5,True,False,"['rajkotnews', 'chinesegarlic', 'gondalmarketyard', 'viralnews', 'news18original']",2010,14,42995,122902,0.025270938420816062,DS3,niche_only,morning,False
3478375905658386352,reel,38.4,439,Monday,3,14,10,2024,80091,17,False,False,"['masyaallahtabarakallah', 'masyaallahtabarakallah💕', 'lfl', 'like', 'women', 'blogger', 'instagood', 'instagood', 'inspiration', 'awesome', 'beautiful', 'adventure', 'berkebun', 'tanaman', 'hobi', 'hidupminimalis', 'minimalist']",,61,234,602,,DS3,mixed,night,False
3581341878919790523_180377989,reel,54.633,637,Wednesday,4,5,3,2025,4102,10,False,False,"['selfworth', 'percayadiri', 'hargaidirisendiri', 'mindsetpositif', 'personalgrowth', 'motivasihidup', 'mentalhealthawareness', 'selflovejourney', 'inspirationdaily', 'kontenmotivasi']",24,0,107,419,0.005849378503534,DS3,niche_only,night,False
3483540677311939252,reel,9.566,1436,Monday,2,21,10,2024,80091,2,False,False,"['presidenjokowi', 'presidenprabowo']",,3,2018,6365,,DS3,niche_only,night,False
3481548130051666947,reel,18.033,150,Friday,12,18,10,2024,80091,1,True,False,['1000)'],1868,15,8412,48662,0.023510462967587274,DS3,niche_only,afternoon,False
3468602459252445243_45909564864,reel,56.689,200,Monday,15,30,9,2024,197219,13,True,False,"['त्योहारोंkiरौनक', 'navratri', 'navratri2024', 'navratribindi', 'navratrimakeup', 'navratrilook', 'navratrihacks', 'viralhacks', 'viralhack', 'bindihack', 'festivehacks', 'viralreels', 'eyelinerhacks', 'eyelinerhack']",151007,348,2934261,4943253,0.7674424500557753,DS3,niche_only,afternoon,False
3411168881007113518,reel,13.133,111,Saturday,9,13,7,2024,80091,5,False,False,"['gym', 'backday', 'consistancy', 'hope', 'gymmotivation']",49567,191,615097,1357297,0.6212605503670778,DS3,niche_only,morning,True
3638914586221120614,reel,43.375,336,Friday,15,23,5,2025,80091,2,True,False,"['عناية_بالشعر', 'جمال', 'منتجات_طبيعية', 'alaaliya', 'hair']",9,0,30,612,0.0001123707736103481,DS3,niche_only,afternoon,False
3503461175922466227,reel,8.166,139,Sunday,17,17,11,2024,80091,14,False,False,"['goa', 'goabeach', 'goals', 'goadiaries', 'vacation', 'foryou', 'foryoupage', 'foryourpage', 'explore', 'explorepage', 'exploremore', 'vibes', 'vibe', 'goodvibes']",278,1,1522,4853,0.003483493981920791,DS3,mixed,afternoon,True
3480160493211849877,reel,54.1,37,Wednesday,14,16,10,2024,80091,0,True,False,[],499,9,5443,16900,0.006342705888228537,DS3,none,afternoon,False
3555581363711524498,reel,26.56,129,Tuesday,16,28,1,2025,80091,1,True,False,['dragonalliance'],126,1,550,2872,0.0015856764720571343,DS3,niche_only,afternoon,False
3590237918767910718,reel,30.0,13,Monday,11,17,3,2025,80091,0,True,False,[],34715,84,165815,502007,0.4344878389851671,DS3,none,morning,False
3445245507854767018_609765063,reel,88.333,192,Thursday,9,29,8,2024,54755,0,False,False,[],1081,30,43761,91446,0.02029001387975747,DS3,none,morning,False
3774353407990726578_1462674732,reel,25.266,77,Wednesday,11,26,11,2025,15111,3,False,False,"['enemieswithbenefits', 'janhae', 'janiverse']",435,0,1069,3597,0.02878507146638433,DS3,niche_only,morning,False
3464621702543995183_8698585950,reel,62.8,282,Wednesday,3,25,9,2024,5054,4,True,False,"['spfmaksimal', 'racunskincare', 'racunsunscreen', 'azarinesunscreen']",108,74,376,1040,0.036003956478733924,DS3,niche_only,night,False
3610655289923022340,reel,48.298,67,Monday,15,14,4,2025,80091,6,True,False,"['jennie', 'coachella', 'femina', 'kpop', 'blackpink', 'trending']",13195,41,59806,139678,0.16525995105628527,DS3,mixed,afternoon,False
3621762079435362779_5489511707,reel,51.433,256,Tuesday,23,29,4,2025,31124,5,False,False,"['maquillaje', 'tipsdebelleza', 'cursodemaquillaje', 'maquillajedesdecero', 'maquillajebarranquilla']",124,21,0,21855,0.00465863453815261,DS3,niche_only,evening,False
3494237209373108542_9142012683,reel,63.766,25,Tuesday,0,5,11,2024,20317,0,True,False,[],1592,8,9007,33320,0.07874790825868688,DS3,none,night,False
3627491755088399727_5515604030,reel,20.0,98,Wednesday,20,7,5,2025,9735,1,False,False,['entrego'],2,0,0,417,0.00020542317173377156,DS3,niche_only,evening,False
3577103129550590122_32208598844,reel,59.1,39,Thursday,8,27,2,2025,180020,1,True,False,"['ダイソー', '購入品', '掃除術', '100均']",13531,94,1488118,2791141,0.07568561445609123,DS3,niche_only,morning,False
3583011135700603149,reel,9.5,0,Friday,11,7,3,2025,80091,0,False,False,[],11,2,923,6611,0.0001623133396593917,DS3,none,morning,False
3746050620147920255,reel,47.13,143,Saturday,10,18,10,2025,80091,0,True,False,[],14382,79,252632,473991,0.18055486190880488,DS3,none,morning,True
3629940336680289119_2100538961,reel,31.433,447,Sunday,5,11,5,2025,20571,3,True,False,"['wigstyling', 'cosplaygermany', 'cosplay']",171,6,26,6725,0.00860392766867587,DS3,niche_only,night,True
3630333587586000527_7288909350,reel,15.433,346,Sunday,18,11,5,2025,30649,0,False,False,"['шикбезусилий', 'платьекотороепокоряет', 'элегантность']",35,0,22,10678,0.0011419249592169657,DS3,niche_only,evening,True
3588884281046856954_7390377052,reel,4.0,30,Saturday,14,15,3,2025,14478,0,False,False,[],103,11,961,4326,0.00787347192485669,DS3,none,afternoon,True
3414199550915732718_14336893469,reel,41.24,147,Wednesday,13,17,7,2024,1829386,6,True,False,"['tv9kannada', 'warrant', 'tv9warrant', 'crimestory', 'promo', 'kannadanews']",895,3,14090,60343,0.000490874812163856,DS3,niche_only,afternoon,False
3583683674296307704,reel,13.333,2,Saturday,10,8,3,2025,80091,0,True,False,[],,0,25122,97666,,DS3,none,morning,True
3009574430115857572_6314318271,reel,289.7,226,Friday,7,6,1,2023,2121,0,False,False,[],86,7,714,1507,0.04382657869934024,DS3,none,morning,False
3603428432951962662,reel,20.833,193,Friday,15,4,4,2025,80091,7,False,False,"['tiktok', 'reels', 'consejos', 'parejas', 'relaciones', 'amorpropio', 'motivacion']",6478,156,26724,294470,0.08282974579233882,DS3,mixed,afternoon,False
3543703278774462468_45194479453,reel,25.833,77,Sunday,6,12,1,2025,307319,4,False,False,"['explore', 'trending', 'amykhanfam', 'dancereels']",3,7,3737,9353,3.2539372640895484e-05,DS3,mixed,morning,True
3619221422637639650_5825234297,reel,21.9,83,Saturday,10,26,4,2025,68858,5,False,False,"['balapmotor', 'balapanliar', 'sukabalapmotor', 'racingboy', 'balapliarmed4n']",3,0,4381,11013,4.356728967890907e-05,DS3,niche_only,morning,True
3471204690679922692,reel,261.469,154,Friday,5,4,10,2024,80091,7,True,False,"['world', 'iran', 'israel', 'g7', 'joebiden', 'usa', 'israellebanonconflict']",171,7,3447,8347,0.00222244418918244,DS3,niche_only,night,False
3454050551623859694,reel,19.965,43,Tuesday,13,10,9,2024,80091,0,False,False,[],2239,58,73083,224386,0.028679518553663286,DS3,none,afternoon,False
3502495753140323854,reel,46.966,50,Saturday,9,16,11,2024,80091,3,False,False,"['trendingreels', 'reelsvideo', 'instagram']",113,3,837,2611,0.0014483344154222644,DS3,mixed,morning,True
3623114636527492520,reel,92.9,63,Thursday,19,1,5,2025,80091,0,True,False,[],9526,198,58149,233978,0.12141037806522499,DS3,none,evening,False
3619163633097156785_1352374329,reel,132.132,336,Saturday,9,26,4,2025,46028,11,True,False,"['miamimoments', 'droneadventures', 'inspirational', 'florida', 'filmmaker', 'shot', 'avata', 'shooting', 'boat', 'plane', 'surf']",6,1,27,171,0.00015207803775880424,DS3,niche_only,morning,True
3614168813796346709,reel,19.766,76,Saturday,11,19,4,2025,80091,2,False,False,"['riders', 'ucc']",71,2,1068,4203,0.0009114518303950457,DS3,niche_only,morning,True
3622113478828039205,reel,15.2,76,Wednesday,10,30,4,2025,80091,0,True,False,[],,69,25926,155429,,DS3,none,morning,False
3627987060893914084_8008729300,reel,73.333,426,Thursday,13,8,5,2025,9680,10,False,False,"['tbt', 'soulcia', 'encontrodelíderes', 'ciadocrédito', 'semprecomvocê', 'foconavenda', 'foconocrescimento', 'eduardomarostica', 'liderança', 'tbt']",51,5,0,2394,0.005784526391901663,DS3,niche_only,afternoon,False
