post_id,content_type,content_category,caption_length,post_day_of_week,post_hour,post_day,post_month,post_year,follower_count,hashtag_count,has_call_to_action,like_count,comment_count,share_count,save_count,reach_count,impression_count,engagement_rate,performance_bucket_label,dataset,time_block,is_weekend
IG0000057,carousel,Travel,103,Monday,14,21,4,2025,7486,13,True,179,3,10,21,2743,3141,0.0678,viral,DS1,afternoon,False
IG0000058,image,Lifestyle,134,Saturday,11,15,2,2025,13798,6,False,88,3,4,15,5256,7887,0.0139,low,DS1,morning,True
IG0000059,reel,Lifestyle,127,Tuesday,13,11,2,2025,22291,9,False,89,0,3,18,2450,3197,0.0344,medium,DS1,afternoon,False
IG0000060,reel,Photography,116,Tuesday,12,14,10,2025,4542,10,False,25,0,0,6,1249,1645,0.0188,low,DS1,afternoon,False
IG0000061,image,Fitness,111,Friday,8,20,12,2024,4972,10,False,387,8,18,59,6898,11008,0.0429,high,DS1,morning,False
IG0000062,image,Lifestyle,127,Saturday,14,23,8,2025,3083,6,False,210,5,14,23,3588,5562,0.0453,high,DS1,afternoon,True
IG0000063,reel,Travel,136,Tuesday,15,17,12,2024,9696,8,True,222,13,9,38,3230,4484,0.0629,viral,DS1,afternoon,False
IG0000064,carousel,Photography,123,Thursday,9,20,3,2025,8167,6,False,830,20,32,115,17503,23815,0.0419,high,DS1,morning,False
IG0000065,image,Travel,106,Friday,4,27,6,2025,15986,6,True,305,9,12,42,5675,8748,0.0421,medium,DS1,night,False
IG0000066,image,Photography,115,Sunday,10,6,7,2025,3083,8,True,611,20,27,89,22054,32271,0.0231,medium,DS1,morning,True
IG0000067,carousel,Fitness,138,Friday,5,4,7,2025,15986,11,True,46,1,1,3,3430,4043,0.0126,low,DS1,night,False
IG0000068,carousel,Beauty,115,Tuesday,10,22,4,2025,9696,5,True,80,1,3,13,1217,1646,0.0589,viral,DS1,morning,False
IG0000069,image,Technology,125,Tuesday,1,31,12,2024,5824,6,False,112,3,7,20,3818,5470,0.026,medium,DS1,night,False
IG0000070,reel,Comedy,151,Tuesday,18,17,6,2025,7486,6,False,377,12,18,45,7438,11663,0.0388,medium,DS1,evening,False
IG0000071,carousel,Beauty,130,Saturday,22,8,2,2025,8167,6,False,222,11,12,38,7073,11199,0.0253,medium,DS1,evening,True
IG0000072,carousel,Music,126,Friday,14,9,5,2025,5824,2,True,56,2,4,11,1464,1925,0.0379,medium,DS1,afternoon,False
IG0000073,carousel,Travel,117,Saturday,11,26,7,2025,6916,8,True,171,0,12,29,5473,6041,0.0351,medium,DS1,morning,True
IG0000074,image,Music,110,Thursday,6,30,10,2025,8167,8,False,147,5,6,18,2483,3019,0.0583,viral,DS1,morning,False
IG0000075,reel,Beauty,106,Thursday,5,23,1,2025,5824,7,False,283,8,13,50,5771,8206,0.0431,high,DS1,night,False
IG0000076,image,Photography,122,Saturday,10,12,4,2025,9461,2,False,374,20,18,57,6971,8922,0.0526,high,DS1,morning,True
IG0000077,carousel,Comedy,137,Sunday,3,29,6,2025,3551,11,False,98,2,7,17,5374,6205,0.02,low,DS1,night,True
IG0000078,carousel,Comedy,134,Saturday,13,14,12,2024,6916,7,False,442,14,26,62,13229,17187,0.0317,medium,DS1,afternoon,True
IG0000079,image,Fashion,132,Monday,9,20,10,2025,9461,11,False,20,0,1,0,649,927,0.0227,medium,DS1,morning,False
IG0000080,carousel,Comedy,133,Monday,14,2,6,2025,13798,11,False,424,16,14,69,5620,8267,0.0633,viral,DS1,afternoon,False
IG0000081,image,Technology,128,Friday,3,21,2,2025,15986,8,False,304,10,10,46,4974,6248,0.0592,viral,DS1,night,False
IG0000082,carousel,Comedy,105,Friday,12,11,4,2025,9044,6,False,208,6,11,23,3185,4755,0.0522,high,DS1,afternoon,False
IG0000083,carousel,Beauty,128,Sunday,7,27,4,2025,3447,6,False,103,1,2,19,5072,7960,0.0157,low,DS1,morning,True
IG0000084,image,Fashion,106,Thursday,23,26,6,2025,15923,12,False,217,8,11,41,3855,5311,0.0522,high,DS1,evening,False
IG0000085,carousel,Beauty,111,Friday,7,3,1,2025,15986,7,True,264,15,14,44,11942,18409,0.0183,low,DS1,morning,False
IG0000086,image,Beauty,147,Saturday,12,21,6,2025,10018,3,False,549,16,34,76,17769,22997,0.0294,medium,DS1,afternoon,True
IG0000087,image,Food,120,Wednesday,10,9,7,2025,10018,9,False,154,6,9,20,4757,7514,0.0252,low,DS1,morning,False
IG0000088,image,Fashion,138,Monday,4,11,8,2025,9461,10,False,236,6,9,35,7666,9462,0.0302,medium,DS1,night,False
IG0000089,image,Beauty,112,Saturday,17,12,4,2025,10739,3,False,77,1,6,13,2424,3116,0.0311,medium,DS1,afternoon,True
IG0000090,reel,Food,122,Thursday,17,6,3,2025,4542,7,False,102,0,5,15,3248,4339,0.0281,medium,DS1,afternoon,False
IG0000091,carousel,Food,118,Monday,1,2,6,2025,3551,12,False,859,28,33,132,18959,27322,0.0385,medium,DS1,night,False
IG0000092,carousel,Fashion,117,Monday,21,16,6,2025,6916,9,False,266,8,12,42,3456,4195,0.0782,viral,DS1,evening,False
IG0000093,reel,Music,129,Sunday,14,3,8,2025,3551,9,True,198,6,7,17,10770,14676,0.0155,low,DS1,afternoon,True
IG0000094,image,Photography,120,Saturday,4,30,8,2025,6916,9,True,126,4,8,16,1644,2454,0.0628,viral,DS1,night,True
IG0000095,image,Technology,133,Wednesday,19,10,9,2025,15986,9,False,103,4,5,12,1815,2446,0.0507,high,DS1,evening,False
IG0000096,carousel,Photography,109,Saturday,3,1,2,2025,13798,10,False,96,3,6,15,4596,6557,0.0183,low,DS1,night,True
IG0000097,carousel,Comedy,118,Thursday,7,21,11,2024,22291,5,True,194,0,4,22,2666,3894,0.0565,viral,DS1,morning,False
IG0000098,reel,Technology,106,Wednesday,17,18,12,2024,9461,8,False,49,0,2,11,2529,3779,0.0164,low,DS1,afternoon,False
IG0000099,image,Comedy,111,Friday,20,31,1,2025,9696,13,True,86,1,5,13,5064,7357,0.0143,low,DS1,evening,False
IG0000100,carousel,Beauty,96,Thursday,22,21,11,2024,10739,10,False,57,0,3,6,2926,4511,0.0146,low,DS1,evening,False
IG0000101,carousel,Travel,100,Tuesday,14,18,2,2025,10018,7,True,58,1,1,10,4662,6162,0.0114,low,DS1,afternoon,False
IG0000102,image,Fashion,93,Monday,11,16,6,2025,13798,2,False,760,18,48,128,14564,21812,0.0437,high,DS1,morning,False
IG0000103,image,Technology,106,Thursday,6,19,12,2024,15986,12,False,270,0,9,37,3989,6237,0.0507,viral,DS1,morning,False
IG0000104,image,Technology,106,Sunday,15,16,11,2025,10018,8,False,161,4,5,34,6335,8249,0.0247,medium,DS1,afternoon,True
IG0000105,reel,Beauty,124,Sunday,7,26,1,2025,9461,8,False,78,1,4,0,1232,1958,0.0424,high,DS1,morning,True
IG0000106,image,Music,112,Tuesday,13,11,3,2025,10018,7,False,266,10,10,0,5472,8490,0.0337,medium,DS1,afternoon,False
IG0000107,carousel,Food,109,Sunday,18,29,6,2025,10739,2,False,388,14,21,61,26032,40087,0.0121,low,DS1,evening,True
IG0000108,image,Beauty,128,Monday,17,2,6,2025,8167,9,False,38,2,1,5,3266,4989,0.0092,low,DS1,afternoon,False
IG0000109,image,Lifestyle,123,Thursday,7,26,6,2025,3083,6,False,714,23,24,95,12067,13440,0.0637,viral,DS1,morning,False
IG0000110,reel,Food,122,Friday,15,28,3,2025,10018,7,False,182,5,9,21,3552,5553,0.0391,medium,DS1,afternoon,False
IG0000111,image,Fashion,130,Monday,8,7,4,2025,9461,9,True,111,3,6,15,2110,2690,0.0502,high,DS1,morning,False
IG0000112,image,Food,111,Friday,0,15,8,2025,10739,9,True,0,3,1,17,1957,3043,0.0069,high,DS1,night,False
IG0000113,image,Music,119,Wednesday,7,30,4,2025,3083,7,False,409,15,27,75,10574,14101,0.0373,medium,DS1,morning,False
IG0000114,image,Food,126,Wednesday,6,5,3,2025,3551,7,False,666,11,36,96,9733,15371,0.0526,high,DS1,morning,False
IG0000115,image,Fashion,136,Monday,7,12,5,2025,6916,11,False,92,3,3,23,5488,8527,0.0142,low,DS1,morning,False
IG0000116,reel,Music,112,Wednesday,12,5,2,2025,8167,8,False,118,5,4,18,3701,5060,0.0287,medium,DS1,afternoon,False
IG0000117,image,Photography,124,Tuesday,2,29,7,2025,8167,9,False,625,20,33,98,8958,12620,0.0615,viral,DS1,night,False
IG0000118,carousel,Technology,128,Wednesday,1,30,4,2025,4542,7,False,237,9,9,37,4622,6992,0.0418,high,DS1,night,False
IG0000119,image,Technology,123,Monday,12,10,3,2025,5824,10,True,117,3,7,15,4645,6192,0.0229,medium,DS1,afternoon,False
IG0000120,reel,Comedy,118,Sunday,3,20,4,2025,3447,6,False,20,0,1,4,1309,1496,0.0167,low,DS1,night,True
IG0000121,image,Photography,131,Tuesday,22,24,6,2025,3551,5,False,558,16,26,92,8359,10904,0.0635,viral,DS1,evening,False
IG0000122,carousel,Photography,126,Sunday,1,22,12,2024,15923,10,True,191,9,10,24,2974,4239,0.0552,high,DS1,night,True
IG0000123,carousel,Food,129,Thursday,22,30,10,2025,31095,8,True,127,4,6,25,6432,8126,0.0199,low,DS1,evening,False
IG0000124,image,Technology,108,Friday,6,10,10,2025,4972,6,False,164,5,8,26,4860,6617,0.0307,medium,DS1,morning,False
IG0000125,carousel,Fashion,121,Saturday,8,14,6,2025,10739,11,False,89,6,3,8,5619,8609,0.0123,low,DS1,morning,True
IG0000126,reel,Fitness,123,Wednesday,18,24,9,2025,3551,8,True,129,4,7,16,5575,7061,0.0221,low,DS1,evening,False
IG0000127,image,Fitness,112,Saturday,8,7,6,2025,5824,10,False,114,3,9,25,1452,2227,0.0678,viral,DS1,morning,True
IG0000128,reel,Music,119,Sunday,22,13,7,2025,8167,3,False,155,4,7,21,2005,2740,0.0682,viral,DS1,evening,True
IG0000129,image,Technology,93,Friday,10,13,12,2024,9044,11,False,196,11,14,31,2945,3626,0.0695,viral,DS1,morning,False
IG0000130,image,Technology,110,Thursday,12,14,8,2025,4972,10,False,158,4,10,15,5887,7778,0.024,low,DS1,afternoon,False
IG0000131,image,Fitness,126,Sunday,7,24,11,2024,5824,6,False,174,9,7,23,4343,6653,0.032,medium,DS1,morning,True
IG0000132,reel,Technology,112,Thursday,13,2,10,2025,3551,4,True,854,26,34,115,19172,25478,0.0404,high,DS1,afternoon,False
IG0000133,image,Food,122,Monday,18,29,9,2025,3447,8,False,25,1,0,2,2120,2870,0.0098,low,DS1,evening,False
IG0000134,carousel,Lifestyle,142,Tuesday,4,29,4,2025,22291,7,False,680,18,18,102,14338,20743,0.0394,medium,DS1,night,False
IG0000135,carousel,Travel,114,Tuesday,15,4,2,2025,4542,13,False,164,3,9,23,10093,15222,0.0131,low,DS1,afternoon,False
IG0000136,reel,Photography,115,Thursday,6,10,4,2025,5824,7,True,256,6,12,38,5557,6432,0.0485,high,DS1,morning,False
IG0000137,reel,Comedy,128,Saturday,23,7,12,2024,10034,8,False,77,2,6,15,2312,3303,0.0303,medium,DS1,evening,True
IG0000138,reel,Music,126,Wednesday,13,11,6,2025,13798,8,False,321,8,15,60,6987,10929,0.037,medium,DS1,afternoon,False
IG0000139,reel,Lifestyle,120,Sunday,21,31,8,2025,13798,12,False,200,6,0,20,2903,4268,0.053,high,DS1,evening,True
IG0000140,image,Fitness,133,Thursday,21,21,8,2025,31095,7,False,47,4,3,12,1135,1534,0.043,high,DS1,evening,False
IG0000141,image,Photography,118,Monday,4,20,1,2025,9044,6,False,86,3,6,20,3631,4427,0.026,medium,DS1,night,False
IG0000142,reel,Technology,128,Friday,19,25,4,2025,3551,7,False,57,1,5,8,3353,4534,0.0157,low,DS1,evening,False
IG0000143,reel,Comedy,129,Sunday,15,25,5,2025,9461,2,False,181,6,11,27,10017,11580,0.0194,low,DS1,afternoon,True
IG0000144,image,Technology,100,Saturday,6,11,1,2025,9461,9,False,385,7,18,58,5300,6949,0.0673,viral,DS1,morning,True
IG0000145,image,Fashion,112,Friday,20,6,12,2024,31095,8,False,0,13,19,78,7035,9748,0.0113,high,DS1,evening,False
IG0000146,carousel,Fashion,105,Saturday,15,8,11,2025,5824,3,True,325,13,15,43,7373,9306,0.0426,high,DS1,afternoon,True
IG0000147,carousel,Comedy,118,Friday,23,8,8,2025,6916,6,True,75,4,2,10,1737,2257,0.0403,medium,DS1,evening,False
IG0000148,image,Comedy,115,Wednesday,11,1,10,2025,10018,3,False,947,31,47,140,11912,17917,0.065,viral,DS1,morning,False
IG0000149,reel,Fitness,125,Thursday,15,19,6,2025,3551,12,False,399,8,27,71,12911,17389,0.029,medium,DS1,afternoon,False
IG0000150,image,Comedy,104,Friday,16,18,7,2025,10034,10,True,81,3,6,15,4340,4812,0.0218,medium,DS1,afternoon,False
IG0000151,image,Food,114,Wednesday,7,23,4,2025,15986,13,False,261,6,11,36,4576,6878,0.0457,high,DS1,morning,False
IG0000152,carousel,Technology,131,Thursday,11,19,6,2025,6916,8,False,585,14,0,72,8069,10583,0.0634,viral,DS1,morning,False
IG0000153,reel,Lifestyle,133,Thursday,4,4,9,2025,10739,11,False,513,12,35,80,10342,12127,0.0528,high,DS1,night,False
IG0000154,carousel,Beauty,129,Wednesday,3,25,6,2025,9461,8,False,211,6,12,37,9219,12127,0.0219,low,DS1,night,False
IG0000155,image,Comedy,99,Tuesday,21,17,12,2024,3447,6,True,344,11,11,53,4640,6645,0.0631,viral,DS1,evening,False
IG0000156,carousel,Music,114,Saturday,22,17,5,2025,4542,4,False,194,5,6,37,10208,14693,0.0165,low,DS1,evening,True
IG0000157,image,Fashion,103,Saturday,18,27,9,2025,13798,9,False,180,6,8,30,2642,4006,0.0559,viral,DS1,evening,True
IG0000158,image,Food,107,Tuesday,11,20,5,2025,8167,5,False,455,8,21,59,9726,11112,0.0489,high,DS1,morning,False
IG0000159,carousel,Photography,115,Friday,3,5,9,2025,6916,16,True,166,2,13,26,2886,4383,0.0472,high,DS1,night,False
IG0000160,image,Beauty,116,Friday,6,20,6,2025,31095,5,False,399,9,22,62,11831,13840,0.0355,medium,DS1,morning,False
IG0000161,carousel,Lifestyle,113,Monday,6,1,9,2025,15923,8,False,152,0,8,22,5182,7417,0.0245,medium,DS1,morning,False
IG0000162,carousel,Beauty,139,Monday,18,23,12,2024,15923,9,False,217,8,16,33,4505,7146,0.0383,medium,DS1,evening,False
IG0000163,image,Comedy,122,Sunday,2,28,9,2025,31095,7,False,174,6,7,28,2388,3539,0.0608,viral,DS1,night,True
IG0000164,image,Fitness,121,Friday,23,7,2,2025,13798,7,False,539,20,31,92,10645,16257,0.042,medium,DS1,evening,False
IG0000165,carousel,Fashion,113,Tuesday,23,6,5,2025,3551,7,False,386,0,14,50,14020,16108,0.0279,medium,DS1,evening,False
IG0000166,reel,Fashion,136,Wednesday,18,27,8,2025,22291,6,False,103,5,4,13,2484,3366,0.0371,high,DS1,evening,False
IG0000167,carousel,Photography,119,Thursday,22,11,9,2025,10018,11,True,157,4,6,26,2242,3039,0.0635,viral,DS1,evening,False
IG0000168,reel,Fitness,109,Thursday,18,2,1,2025,15923,2,False,61,2,2,7,2246,2915,0.0247,medium,DS1,evening,False
IG0000169,carousel,Technology,133,Wednesday,12,19,2,2025,10739,6,False,94,1,3,10,5665,8842,0.0122,low,DS1,afternoon,False
IG0000170,carousel,Travel,134,Thursday,13,26,12,2024,15923,6,False,95,4,4,12,3484,4386,0.0262,medium,DS1,afternoon,False
IG0000171,image,Food,105,Thursday,17,5,6,2025,15923,7,False,682,18,43,111,10411,16144,0.0529,high,DS1,afternoon,False
IG0000172,reel,Fashion,129,Thursday,6,5,6,2025,15923,7,True,46,1,4,0,3752,4379,0.0116,low,DS1,morning,False
IG0000173,carousel,Music,144,Sunday,12,23,2,2025,22291,10,False,165,4,7,26,4405,6655,0.0304,medium,DS1,afternoon,True
IG0000174,carousel,Fashion,108,Friday,23,14,11,2025,22291,10,False,181,5,11,20,5006,7710,0.0281,medium,DS1,evening,False
IG0000175,image,Beauty,134,Friday,13,14,2,2025,10739,12,False,68,2,4,6,3033,4271,0.0187,low,DS1,afternoon,False
IG0000176,image,Fashion,87,Sunday,16,27,4,2025,9461,10,True,105,1,5,10,1461,1870,0.0647,viral,DS1,afternoon,True
IG0000177,image,Fashion,117,Thursday,14,26,12,2024,9461,16,False,0,2,6,18,2696,3959,0.0066,medium,DS1,afternoon,False
IG0000178,reel,Travel,111,Tuesday,8,31,12,2024,3447,10,True,121,5,5,16,2652,4126,0.0356,medium,DS1,morning,False
IG0000179,image,Travel,105,Sunday,1,27,4,2025,22291,5,False,247,9,15,34,3360,4378,0.0697,viral,DS1,night,True
IG0000180,image,Lifestyle,120,Saturday,2,15,3,2025,13798,9,True,36,1,0,9,2385,3248,0.0142,low,DS1,night,True
IG0000181,carousel,Technology,121,Friday,7,25,7,2025,10034,9,False,852,28,33,137,11702,16150,0.065,viral,DS1,morning,False
IG0000182,reel,Music,135,Saturday,17,17,5,2025,4972,4,False,335,9,14,49,5256,6853,0.0594,viral,DS1,afternoon,True
IG0000183,image,Fashion,127,Monday,22,17,11,2025,9044,6,True,71,1,4,6,4949,5658,0.0145,low,DS1,evening,False
IG0000184,image,Fashion,104,Monday,10,1,9,2025,15923,14,True,290,5,13,43,4428,5194,0.0676,viral,DS1,morning,False
IG0000185,image,Food,117,Wednesday,23,1,10,2025,10034,10,True,111,7,7,22,5594,7565,0.0194,low,DS1,evening,False
IG0000186,carousel,Travel,117,Thursday,9,27,2,2025,10739,8,False,1244,33,69,168,15848,20073,0.0754,viral,DS1,morning,False
IG0000187,reel,Music,127,Friday,20,29,11,2024,31095,10,True,173,8,7,21,4338,6608,0.0316,medium,DS1,evening,False
IG0000188,carousel,Photography,131,Friday,10,6,6,2025,22291,11,False,75,4,2,7,3265,4973,0.0177,low,DS1,morning,False
IG0000189,image,Lifestyle,126,Tuesday,2,21,10,2025,10034,9,False,48,1,3,7,1685,2336,0.0253,medium,DS1,night,False
IG0000190,image,Technology,129,Saturday,11,1,11,2025,9044,10,False,1852,61,89,327,41265,49836,0.0467,high,DS1,morning,True
IG0000191,reel,Fitness,128,Saturday,8,1,3,2025,9696,5,False,86,2,3,10,4530,7176,0.0141,low,DS1,morning,True
IG0000192,reel,Technology,130,Friday,11,7,11,2025,9696,10,True,68,2,1,9,1055,1321,0.0606,viral,DS1,morning,False
IG0000193,carousel,Beauty,118,Sunday,13,27,7,2025,9461,6,False,342,10,22,51,4853,5494,0.0774,viral,DS1,afternoon,True
IG0000194,reel,Fashion,128,Saturday,12,18,1,2025,6916,6,False,75,1,8,8,1420,1956,0.047,high,DS1,afternoon,True
IG0000195,reel,Lifestyle,125,Saturday,7,22,2,2025,10034,10,False,75,2,5,8,1585,1792,0.0502,high,DS1,morning,True
IG0000196,carousel,Beauty,115,Tuesday,2,18,3,2025,9696,4,True,757,37,43,0,12663,15932,0.0525,viral,DS1,night,False
IG0000197,image,Music,118,Wednesday,23,12,3,2025,10018,10,False,101,5,4,26,2585,4078,0.0333,medium,DS1,evening,False
IG0000198,image,Fitness,129,Wednesday,18,11,12,2024,31095,13,False,77,3,3,16,2472,3646,0.0272,medium,DS1,evening,False
IG0000199,carousel,Travel,109,Saturday,5,25,1,2025,4972,9,False,108,3,5,13,3834,4229,0.0305,medium,DS1,night,True
IG0000200,image,Lifestyle,110,Thursday,15,9,1,2025,3447,5,False,306,8,15,53,3866,4579,0.0834,viral,DS1,afternoon,False
IG0000201,carousel,Lifestyle,139,Wednesday,13,8,10,2025,10018,8,False,126,8,6,15,2885,4298,0.0361,medium,DS1,afternoon,False
IG0000202,image,Fashion,112,Friday,0,10,1,2025,3447,12,False,199,6,11,27,6762,8107,0.03,medium,DS1,night,False
IG0000203,reel,Comedy,127,Monday,19,27,1,2025,31095,10,False,50,2,2,7,2098,2535,0.0241,low,DS1,evening,False
IG0000204,image,Lifestyle,102,Tuesday,7,22,4,2025,3551,16,False,104,0,3,12,1677,2219,0.0536,high,DS1,morning,False
IG0000205,reel,Food,125,Thursday,5,14,8,2025,31095,7,False,1348,46,71,226,18086,23854,0.0709,viral,DS1,night,False
